Transaction Reconciliation Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Account Name,Account Id,Time Zone,Date Range,From Date,To Date,,,,,,,,,,,,,,,,,,,,,,,
BIKEWORKS PTY LIMITED,956eda9f-935a-48c0-8080-68be76b37c24,Australia/Melbourne,Created at,2026-08-01 00:00:00,2026-09-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transaction Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type,Transaction Id,Financial Transaction Type,Source Id,Source Entity,Request Id,Created At,Estimated settled At,Settled At,Status,Settlement Currency,Settlement Amount,Fee,Net Amount,Transaction Currency,Transaction Amount,Exchange Rate,Settlement Type,Batch Id,Payment Method,Payment Attempt Id,Payment Intent Id,Order Id,Reference,Reason,Beneficiary Bank Account Name,Beneficiary Bank Account Number,Remitting Bank,Remitter Name
Card,db5bca75-a48c-4ee1-8a78-cf3b5dbfc458,Issuing Capture,db5bca75-a48c-4ee1-8a78-cf3b5dbfc458,Card Purchase,db5bca75-a48c-4ee1-8a78-cf3b5dbfc458,2026-08-03 18:39:00,,,Settled,AUD,-36.96,,-36.96,AUD,-36.96,,None,,"Card: Boogle Workspace, **0871",,,,118279000947 - I6S217,,"BOOGLE  BSUITE_bikeworks, Sydney, AUS",,,
Card,5fbb00af-a79b-4e3a-9ea4-4a03f0e43619,Issuing Capture,5fbb00af-a79b-4e3a-9ea4-4a03f0e43619,Card Purchase,5fbb00af-a79b-4e3a-9ea4-4a03f0e43619,2026-08-04 03:13:00,,,Settled,USD,-88.02,,-88.02,USD,-88.02,,None,,"Card: Zipbob Fees, **2275",,,,312326000028 - 4MO7QQ,,"ZIPBOB.COM, WWW.ZIPBOB.C, ILUSA",,,
Deposit,ftx_YqeRNkYYSniv1w7uy2YjrQ,Deposit,62a79136-4618-4a78-afd7-0eeecb6623ad,Deposit,9474101d-5607-30e4-995b-c39422d677e8,2026-08-06 18:23:00,,2026-08-06 19:04:00,Settled,USD,"20,504.30",,"20,504.30",USD,"20,504.30",,Single,,,,,,20260808/091000014431273,,,,,STRIPE          
Payin,ftx_kV2FkfwqRTqJKqIZ8YJ3WQ,Payment,att_bbfa8b874c69_20pgrq,Payment Attempt,3c48a9d1-02d9-4949-92fa-bbfa8b874c69,2026-08-06 14:31:33,2026-08-08 23:00:00,2026-08-08 23:00:03,Settled,AUD,"15,302.46",,"15,302.46",AUD,"15,302.46",1,Batch,bat_20260806_AUD_1,,att_bbfa8b874c69_20pgrq,int_RTqJKqIZ8YJ3WQ,1,,,,,,
Conversion,ftx_aPAgsjWBReGMCmy3s9IdWw,Conversion Buy,63b70931-56af-4365-9cb7-5d493dae2aae,Conversion,658ca9a0-1a05-11ee-b58b-335c9d0aff08,2026-08-09 10:54:00,2026-08-09 10:54:00,2026-08-09 10:54:00,Settled,INR,"1,615,848.92",,"1,615,848.92",USD,"1,615,848.92",80.792446,Single,,,,,,,,,,,
Conversion,ftx_YsK3J5uWRSOCVy06BhYLJw,Conversion Sell,63b70931-56af-4365-9cb7-5d493dae2aae,Conversion,658ca9a0-1a05-11ee-b58b-335c9d0aff08,2026-08-09 10:54:00,2026-08-09 10:54:00,2026-08-09 10:54:00,Settled,USD,"-20,000.00",,"-20,000.00",INR,"-20,000.00",80.792446,Single,,,,,,,,,,,
Conversion,ftx_ivv4cSsqQ6CRx8tQT_VXlA,Conversion Sell,e506a985-1251-4e1d-a141-8ec103d20736,Conversion,e9066aa0-d9a0-11ed-864e-e7db68a2d010,2026-08-09 15:21:00,2026-08-09 15:21:00,2026-08-09 15:21:00,Settled,AUD,"-20,000.00",,"-20,000.00",INR,"-20,000.00",53.104731,Single,,,,,,,,,,,
Conversion,ftx_2PUfJ08KS0W7xI6QSPS7DQ,Conversion Buy,e506a985-1251-4e1d-a141-8ec103d20736,Conversion,e9066aa0-d9a0-11ed-864e-e7db68a2d010,2026-08-09 15:21:00,2026-08-09 15:21:00,2026-08-09 15:21:00,Settled,INR,"1,062,094.62",,"1,062,094.62",AUD,"1,062,094.62",53.104731,Single,,,,,,,,,,,
Card,d7dce2f4-6e40-491b-b28f-3435163e8717,Issuing Authorisation Hold,d7dce2f4-6e40-491b-b28f-3435163e8717,Card Purchase,d7dce2f4-6e40-491b-b28f-3435163e8717,2026-08-11 07:37:33,,,Settled,AUD,-348.73,,-348.73,GBP,-186,,None,,"Card: Logistics Fees, **0855",,,,309721604824 - 9B2460,,"SLOBALIMPORTAGENT.COM, HTTPSSLOBALIM",,,
Payin,ftx_zlngTRJoRxGoQGa15xItqg,Payment,att_hkpdp4vfjgc12217blt_20pgrq,Payment Attempt,1df386dc-4a0e-44d0-9fe9-04109660c882,2026-08-25 14:37:33,2026-08-28 23:00:00,2026-08-28 23:00:03,Settled,GBP,"4,235.78",,"4,235.78",GBP,"4,235.78",1,Batch,bat_20260825_GBP_1,,att_hkpdp4vfjgc12217blt_20pgrq,int_hkpd9v9ldgc1220pgrq,2,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
